email,firstName,lastName,company,jobTitle
zainop001@gmail.com,Zain,Ali,Tinfin,Mern
zain.ali.529001@gmail.com,Zain,Ali,Tinfin,Mern
sanpcheck1@gmail.com,Zain,Ali,Tinfin,Mern
test001@mailinator.com,Alice,Smith,Acme Corp,Engineer
test002@mailinator.com,Bob,Johnson,Globex Inc,Manager
test003@mailinator.com,Charlie,Williams,Initech,Director
test004@mailinator.com,Diana,Jones,Hooli,Analyst
test005@mailinator.com,Ethan,Brown,Umbrella Corp,Consultant
test006@mailinator.com,Fiona,Davis,Soylent Corp,Developer
test007@mailinator.com,George,Miller,Wonka Industries,Designer
test008@mailinator.com,Hannah,Wilson,Stark Industries,Specialist
test009@mailinator.com,Ian,Moore,Wayne Enterprises,Coordinator
test010@mailinator.com,Julia,Taylor,Gringotts Bank,Administrator
test011@mailinator.com,Alice,Smith,Acme Corp,Engineer
test012@mailinator.com,Bob,Johnson,Globex Inc,Manager
test013@mailinator.com,Charlie,Williams,Initech,Director
test014@mailinator.com,Diana,Jones,Hooli,Analyst
test015@mailinator.com,Ethan,Brown,Umbrella Corp,Consultant
test016@mailinator.com,Fiona,Davis,Soylent Corp,Developer
test017@mailinator.com,George,Miller,Wonka Industries,Designer
test018@mailinator.com,Hannah,Wilson,Stark Industries,Specialist
test019@mailinator.com,Ian,Moore,Wayne Enterprises,Coordinator
test020@mailinator.com,Julia,Taylor,Gringotts Bank,Administrator
test021@mailinator.com,Alice,Smith,Acme Corp,Engineer
test022@mailinator.com,Bob,Johnson,Globex Inc,Manager
test023@mailinator.com,Charlie,Williams,Initech,Director
test024@mailinator.com,Diana,Jones,Hooli,Analyst
test025@mailinator.com,Ethan,Brown,Umbrella Corp,Consultant
test026@mailinator.com,Fiona,Davis,Soylent Corp,Developer
test027@mailinator.com,George,Miller,Wonka Industries,Designer
test028@mailinator.com,Hannah,Wilson,Stark Industries,Specialist
test029@mailinator.com,Ian,Moore,Wayne Enterprises,Coordinator
test030@mailinator.com,Julia,Taylor,Gringotts Bank,Administrator
test031@mailinator.com,Alice,Smith,Acme Corp,Engineer
test032@mailinator.com,Bob,Johnson,Globex Inc,Manager
test033@mailinator.com,Charlie,Williams,Initech,Director
test034@mailinator.com,Diana,Jones,Hooli,Analyst
test035@mailinator.com,Ethan,Brown,Umbrella Corp,Consultant
test036@mailinator.com,Fiona,Davis,Soylent Corp,Developer
test037@mailinator.com,George,Miller,Wonka Industries,Designer
test038@mailinator.com,Hannah,Wilson,Stark Industries,Specialist
test039@mailinator.com,Ian,Moore,Wayne Enterprises,Coordinator
test040@mailinator.com,Julia,Taylor,Gringotts Bank,Administrator
test041@mailinator.com,Alice,Smith,Acme Corp,Engineer
test042@mailinator.com,Bob,Johnson,Globex Inc,Manager
test043@mailinator.com,Charlie,Williams,Initech,Director
